destination,hour,weekend,temperature,humidity,crowd
Ooty,9,0,17,94,88
Coorg,17,0,18,66,97
Ooty,15,0,16,70,98
Coorg,13,0,19,68,86
Ooty,6,0,26,71,92
Munnar,19,1,27,93,100
Munnar,13,1,18,84,100
Kodaikanal,11,1,25,61,100
Kodaikanal,7,1,18,87,100
Kodaikanal,10,1,22,56,100
Yercaud,20,0,22,87,100
Kodaikanal,19,1,22,76,100
Yercaud,11,0,25,64,95
Ooty,11,1,22,79,100
Kodaikanal,16,0,25,50,100
Kodaikanal,8,0,19,92,79
Kodaikanal,9,0,20,55,87
Ooty,13,0,23,64,100
Yercaud,15,0,22,67,100
Yercaud,7,1,18,65,99
Yercaud,16,1,15,84,100
Yercaud,20,0,26,67,100
Coorg,16,1,20,93,100
Kodaikanal,20,0,24,73,100
Munnar,8,1,28,73,100
Coorg,7,0,25,73,84
Ooty,11,1,26,70,100
Coorg,15,0,15,82,100
Kodaikanal,8,0,15,56,59
Coorg,13,0,15,93,93
Munnar,11,0,15,75,88
Ooty,18,0,17,95,100
Kodaikanal,10,0,29,69,100
Munnar,8,1,24,60,100
Kodaikanal,13,1,26,83,100
Ooty,9,1,22,80,100
Ooty,9,1,23,62,100
Munnar,8,0,15,64,76
Ooty,11,1,30,73,100
Yercaud,15,0,23,77,100
Yercaud,12,0,17,70,87
Kodaikanal,6,0,29,94,94
Yercaud,13,1,26,70,100
Ooty,7,1,25,84,100
Yercaud,20,1,27,90,100
Ooty,14,1,15,75,100
Coorg,19,0,22,81,100
Kodaikanal,10,0,16,88,79
Kodaikanal,16,1,22,79,100
Kodaikanal,6,0,22,72,73
Munnar,18,0,23,67,100
Munnar,15,0,24,71,100
Munnar,16,1,30,74,100
Coorg,20,1,18,87,100
Coorg,11,0,19,54,93
Coorg,12,1,20,74,100
Munnar,16,0,29,86,100
Yercaud,20,1,25,71,100
Yercaud,8,0,24,94,100
Munnar,16,0,27,76,100
Kodaikanal,14,0,29,77,100
Ooty,14,0,22,55,87
Ooty,17,1,23,51,100
Yercaud,9,0,20,88,88
Coorg,10,1,18,88,100
Coorg,19,0,18,88,100
Munnar,8,0,25,51,84
Ooty,16,0,24,73,100
Yercaud,14,1,18,55,100
Coorg,7,1,24,57,93
Kodaikanal,19,1,18,93,100
Ooty,20,1,19,59,100
Coorg,15,0,15,62,86
Yercaud,13,0,24,95,100
Coorg,13,1,16,74,100
Munnar,11,0,17,81,85
Yercaud,18,0,24,78,100
Munnar,9,1,20,81,100
Yercaud,7,1,29,77,100
Coorg,12,0,21,66,99
Yercaud,18,1,30,65,100
Ooty,8,1,16,61,88
Munnar,10,0,27,62,100
Kodaikanal,18,1,21,65,100
Kodaikanal,10,0,17,63,87
Coorg,10,1,17,50,92
Munnar,6,0,18,59,66
Yercaud,6,0,16,69,78
Coorg,15,1,24,52,100
Yercaud,10,0,15,76,79
Munnar,8,0,27,72,100
Ooty,19,1,19,51,100
Munnar,20,1,27,75,100
Yercaud,14,0,20,60,87
Coorg,8,1,21,89,100
Yercaud,17,1,23,56,100
Yercaud,9,0,16,55,83
Kodaikanal,9,0,24,86,100
Munnar,16,1,28,57,100
Munnar,12,1,30,50,100
Munnar,8,0,25,93,92
Yercaud,15,0,23,95,100
Yercaud,16,0,15,79,92
Ooty,17,0,17,69,100
Coorg,6,1,25,52,100
Munnar,9,0,21,93,98
Coorg,20,1,22,52,100
Coorg,7,1,23,57,100
Coorg,7,0,15,92,81
Coorg,18,0,22,88,100
Yercaud,12,1,20,72,100
Kodaikanal,10,1,25,69,100
Coorg,9,1,19,67,100
Yercaud,13,0,17,78,89
Munnar,18,1,26,56,100
Ooty,16,1,22,65,100
Munnar,9,1,26,65,100
Yercaud,13,1,29,60,100
Coorg,15,1,18,64,100
Yercaud,12,0,29,84,100
Ooty,9,0,20,75,96
Munnar,10,1,26,79,100
Kodaikanal,18,1,23,77,100
Yercaud,19,0,22,72,100
Kodaikanal,11,0,19,76,84
Coorg,19,0,23,61,100
Munnar,20,0,28,95,100
Coorg,9,1,21,66,96
Coorg,16,0,29,83,100
Munnar,15,0,25,82,100
Ooty,20,1,18,56,100
Kodaikanal,11,0,17,69,87
Yercaud,10,1,22,50,96
Kodaikanal,11,0,17,89,90
Kodaikanal,7,1,30,53,100
Coorg,17,0,20,71,100
Yercaud,19,0,19,69,100
Kodaikanal,20,0,30,64,100
Ooty,18,0,23,83,100
Ooty,6,0,29,78,97
Yercaud,11,1,29,60,100
Ooty,9,1,24,57,95
Munnar,10,1,19,67,98
Kodaikanal,19,1,20,75,100
Ooty,10,0,16,78,94
Coorg,13,1,19,74,100
Munnar,10,1,16,94,100
Coorg,12,1,22,95,100
Kodaikanal,18,0,17,88,100
Ooty,16,0,19,90,100
Coorg,19,1,23,51,100
Kodaikanal,10,1,26,60,100
Ooty,19,1,27,87,100
Munnar,11,0,18,81,85
Yercaud,6,1,26,63,100
Yercaud,8,1,19,83,100
Ooty,7,0,16,76,73
Kodaikanal,7,0,29,75,93
Munnar,16,0,23,63,100
Kodaikanal,13,1,27,85,100
Kodaikanal,14,1,20,76,100
Ooty,17,0,18,56,95
Coorg,7,0,20,82,75
Ooty,9,0,17,76,88
Kodaikanal,6,0,25,69,77
Yercaud,6,1,30,75,100
Ooty,6,1,28,50,96
Kodaikanal,15,1,29,62,100
Kodaikanal,19,0,25,95,100
Munnar,9,0,25,91,93
Coorg,13,1,26,73,100
Yercaud,10,1,29,55,100
Yercaud,17,0,20,55,96
Ooty,11,0,20,89,100
Ooty,9,0,17,89,81
Munnar,17,1,19,82,100
Munnar,11,0,16,81,95
Munnar,19,1,28,83,100
Kodaikanal,6,0,17,85,76
Coorg,14,0,18,85,98
Yercaud,19,1,22,87,100
Ooty,10,0,17,66,89
Yercaud,17,1,20,69,100
Ooty,7,0,21,67,74
Ooty,7,0,20,52,76
Yercaud,7,1,25,90,100
Yercaud,6,0,16,84,67
Kodaikanal,18,0,16,90,100
Kodaikanal,6,1,24,75,100
Munnar,19,1,17,58,100
Kodaikanal,9,1,30,64,100
Ooty,17,1,23,60,100
Munnar,14,0,18,88,94
Ooty,15,0,18,56,95
Yercaud,11,0,20,94,90
Yercaud,13,0,23,94,100
Coorg,18,0,16,90,100
Kodaikanal,6,1,28,60,100
Yercaud,11,1,28,77,100
Yercaud,18,1,20,87,100
Kodaikanal,16,0,23,76,100
Ooty,6,0,19,95,74
Munnar,17,1,30,83,100
Ooty,7,0,19,80,80
Yercaud,15,0,25,78,100
Yercaud,12,1,27,86,100
Yercaud,19,1,20,73,100
Munnar,11,1,26,50,100
Coorg,14,0,17,73,91
Kodaikanal,11,1,21,50,98
Coorg,6,0,26,83,83
Kodaikanal,10,1,23,72,100
Kodaikanal,12,1,18,95,100
Yercaud,12,1,23,71,100
Ooty,8,1,19,94,100
Kodaikanal,7,0,24,69,91
Ooty,10,0,23,95,100
Coorg,18,1,16,69,100
Ooty,6,0,29,82,88
Kodaikanal,6,0,16,70,70
Kodaikanal,11,1,17,62,100
Munnar,8,0,27,59,90
Yercaud,16,1,30,88,100
Coorg,19,1,28,88,100
Ooty,10,1,15,80,100
Coorg,20,0,20,90,100
Kodaikanal,12,0,18,69,84
Kodaikanal,9,0,18,84,90
Coorg,12,0,17,76,93
Yercaud,9,1,17,79,94
Munnar,9,1,28,53,100
Ooty,11,1,29,57,100
Munnar,8,0,26,68,98
Kodaikanal,10,1,17,74,100
Kodaikanal,9,1,15,56,91
Coorg,16,0,19,89,100
Coorg,9,1,24,95,100
Coorg,12,1,20,64,100
Coorg,15,1,26,50,100
Yercaud,7,1,16,53,77
Yercaud,20,0,27,62,100
Kodaikanal,13,1,26,67,100
Munnar,16,1,17,64,100
Ooty,19,1,23,72,100
Coorg,10,1,25,54,100
Munnar,14,0,17,79,95
Kodaikanal,17,0,20,55,95
Munnar,7,0,25,53,71
Coorg,20,1,26,56,100
Yercaud,9,1,21,95,100
Munnar,20,1,25,68,100
Coorg,19,0,25,70,100
Kodaikanal,12,0,22,79,94
Ooty,7,1,23,51,93
Munnar,20,1,25,92,100
Yercaud,9,1,25,94,100
Kodaikanal,12,0,20,61,100
Coorg,14,1,29,53,100
Munnar,18,0,28,88,100
Yercaud,6,1,24,86,100
Yercaud,18,0,27,60,100
Yercaud,8,0,26,59,92
Yercaud,15,0,22,51,92
Coorg,16,1,27,52,100
Kodaikanal,11,0,18,70,84
Munnar,12,0,16,81,89
Ooty,9,1,29,95,100
Munnar,16,1,21,73,100
Ooty,14,0,16,84,100
Kodaikanal,6,0,28,84,84
Munnar,16,1,26,66,100
Munnar,17,0,27,95,100
Kodaikanal,8,1,15,74,100
Yercaud,14,0,21,74,100
Kodaikanal,15,1,23,62,100
Ooty,11,0,19,77,86
Kodaikanal,11,1,26,75,100
Kodaikanal,11,1,25,75,100
Ooty,14,1,24,64,100
Yercaud,8,0,21,71,78
Coorg,11,0,24,51,84
Yercaud,13,0,19,84,100
Munnar,7,0,21,85,92
Yercaud,6,1,19,95,100
Munnar,20,0,20,94,100
Kodaikanal,18,1,17,72,100
Ooty,20,1,22,73,100
Munnar,20,0,30,89,100
Kodaikanal,18,0,29,55,100
Coorg,18,1,20,58,100
Kodaikanal,15,0,15,55,99
Kodaikanal,8,0,15,91,85
Munnar,17,0,19,54,93
Yercaud,20,1,24,82,100
Coorg,16,1,17,60,100
Yercaud,6,0,29,50,83
Ooty,13,0,27,68,100
Yercaud,16,1,15,80,100
Coorg,14,0,28,59,100
Yercaud,11,1,30,60,100
Ooty,12,1,27,66,100
Coorg,17,1,19,56,100
Kodaikanal,11,1,17,83,100
Coorg,11,1,30,56,100
Munnar,10,0,28,84,97
Coorg,14,1,29,75,100
Ooty,16,1,17,66,100
Munnar,20,0,28,68,100
Ooty,6,0,20,88,77
Yercaud,8,1,29,79,100
Yercaud,9,1,26,73,100
Kodaikanal,8,0,28,75,94
Yercaud,10,1,24,89,100
Munnar,6,0,16,90,85
Coorg,12,0,17,70,94
Munnar,12,1,25,50,100
Ooty,15,1,17,80,100
Ooty,19,1,28,89,100
Coorg,6,0,19,94,79
Yercaud,12,0,20,59,99
Kodaikanal,13,1,28,70,100
Munnar,12,0,26,83,100
Yercaud,17,0,23,93,100
Ooty,13,0,20,72,94
Ooty,13,0,18,70,85
Coorg,9,0,19,57,71
Yercaud,20,0,17,50,100
Ooty,7,0,20,73,70
Munnar,20,1,24,78,100
Coorg,13,0,28,93,100
Coorg,18,1,18,91,100
Munnar,15,1,23,58,100
Coorg,12,0,25,66,91
Coorg,20,0,16,72,100
Coorg,6,0,23,52,80
Kodaikanal,19,1,24,66,100
Munnar,16,0,23,89,100
Munnar,18,0,29,86,100
Ooty,14,1,28,65,100
Coorg,11,1,19,70,100
Ooty,20,1,23,91,100
Munnar,12,1,30,59,100
Munnar,20,0,27,53,100
Ooty,17,0,20,53,100
Ooty,15,0,22,60,100
Ooty,9,1,22,91,100
Kodaikanal,6,0,23,51,78
Coorg,11,0,20,76,99
Munnar,18,1,30,87,100
Munnar,10,0,24,57,98
Kodaikanal,12,0,25,94,100
Yercaud,10,0,17,78,95
Munnar,20,1,18,64,100
Ooty,6,1,19,95,100
Kodaikanal,6,0,15,73,72
Ooty,20,0,21,55,100
Coorg,13,0,18,59,94
Ooty,7,1,15,57,78
Coorg,14,0,24,63,94
Ooty,18,0,29,77,100
Yercaud,20,0,21,82,100
Ooty,12,0,23,94,100
Coorg,7,1,16,94,93
Coorg,10,1,19,56,98
Munnar,6,1,20,64,100
Munnar,18,0,23,74,100
Yercaud,15,1,29,65,100
Munnar,7,0,27,50,88
Yercaud,19,0,26,89,100
Ooty,14,0,24,90,100
Yercaud,12,0,27,81,100
Munnar,18,0,17,69,99
Coorg,18,1,19,75,100
Munnar,14,0,29,70,100
Ooty,6,0,25,70,89
Yercaud,11,0,18,64,84
Munnar,6,0,29,74,85
Coorg,15,0,24,50,100
Yercaud,8,1,17,59,100
Yercaud,17,1,16,65,100
Kodaikanal,9,1,28,56,100
Kodaikanal,12,0,19,79,96
Munnar,13,1,29,84,100
Kodaikanal,13,1,26,63,100
Ooty,14,0,15,56,85
Coorg,10,1,17,52,86
Ooty,15,1,26,85,100
Coorg,18,0,29,62,100
Kodaikanal,10,0,25,74,97
Coorg,17,0,28,72,100
Munnar,15,0,28,85,100
Kodaikanal,17,1,20,70,100
Munnar,9,1,17,60,87
Coorg,13,1,24,87,100
Yercaud,9,0,22,89,98
Ooty,13,0,21,64,100
Ooty,6,1,18,94,100
Ooty,18,1,20,77,100
Yercaud,20,0,27,64,100
Yercaud,8,0,24,73,98
Munnar,11,1,22,51,100
Ooty,6,1,30,95,100
Ooty,12,1,23,54,100
Ooty,11,1,26,88,100
Munnar,7,1,17,92,96
Kodaikanal,20,1,21,78,100
Coorg,15,1,23,56,100
Ooty,14,0,17,95,100
Coorg,19,0,15,87,100
Yercaud,13,1,22,60,100
Ooty,11,1,21,93,100
Coorg,17,0,29,93,100
Ooty,11,0,15,74,93
Ooty,16,1,16,72,100
Kodaikanal,19,0,18,89,100
Munnar,20,1,15,69,100
Kodaikanal,11,1,25,79,100
Kodaikanal,16,0,17,85,100
Kodaikanal,17,0,25,72,100
Kodaikanal,14,0,26,84,100
Ooty,20,0,22,62,100
Ooty,10,1,30,94,100
Ooty,19,1,26,77,100
Kodaikanal,10,0,16,50,82
Yercaud,17,0,20,66,99
Yercaud,11,0,18,66,79
Yercaud,8,0,26,51,78
Yercaud,19,1,27,80,100
Munnar,17,0,24,58,100
Ooty,10,1,22,84,100
Munnar,13,1,23,71,100
Coorg,12,1,29,67,100
Coorg,17,0,20,82,100
Yercaud,20,0,19,53,100
Coorg,17,1,21,88,100
Munnar,12,1,24,79,100
Yercaud,9,0,16,68,76
Yercaud,16,0,29,92,100
Yercaud,6,0,24,64,70
Ooty,10,0,18,87,91
Ooty,13,1,24,77,100
Coorg,7,0,15,57,66
Kodaikanal,11,0,25,70,90
Yercaud,20,1,29,94,100
Yercaud,8,1,16,80,100
Kodaikanal,12,0,15,83,87
Kodaikanal,13,0,18,82,100
Kodaikanal,16,1,17,94,100
Ooty,15,1,22,64,100
Ooty,6,1,30,90,100
Coorg,12,1,18,91,100
Kodaikanal,17,0,24,70,100
Ooty,18,1,25,92,100
Yercaud,20,0,27,64,100
Coorg,16,0,16,92,98
Munnar,6,0,19,94,78
Coorg,17,0,30,59,100
Munnar,10,0,26,83,97
Yercaud,11,0,26,51,95
Yercaud,8,0,15,65,72
Munnar,18,1,17,73,100
Munnar,10,0,23,93,100
Coorg,11,1,30,50,100
Yercaud,19,1,27,63,100
Coorg,6,1,29,53,100
Ooty,11,0,26,92,100
Ooty,9,0,24,65,79
Ooty,8,0,27,69,86
Coorg,15,1,30,86,100
Yercaud,13,1,30,60,100
Munnar,20,1,17,92,100
Munnar,9,0,19,72,74
Kodaikanal,12,0,28,67,100
Coorg,15,0,23,65,100
Coorg,9,0,17,50,72
Kodaikanal,15,0,20,88,100
Kodaikanal,11,0,21,60,92
Munnar,16,0,24,51,99
Kodaikanal,12,1,17,59,99
Munnar,20,1,26,89,100
Kodaikanal,9,1,24,61,98
Munnar,7,1,25,93,100
Munnar,9,0,22,89,100
Munnar,14,0,24,57,95
